2022127	2022-11-06(日)	34910293313	_	_	_	_	_	_	详情
2022126	2022-11-03(四)	1131517263313	6	9507372	151	223876	436,137,344	1,807,038,683	详情
2022125	2022-11-01(二)	23712203116	7	7965155	231	112316	429,659,904	1,762,667,038	详情
2022124	2022-10-30(日)	510131824261	4	10000000	124	234571	383,396,494	1,740,587,803	详情
2022123	2022-10-27(四)	1013162021255	8	7557633	637	40151	360,850,820	1,693,327,054	详情
2022122	2022-10-25(二)	68171924285	26	5519812	214	78943	350,001,646	1,677,059,125	详情
2022121	2022-10-23(日)	1217222730312	8	8069743	102	300955	380,066,114	1,769,892,531	详情
2022120	2022-10-20(四)	215192627292	43	5486128	288	90727	355,500,194	1,742,358,177	详情
2022119	2022-10-18(二)	25151826274	12	6494901	309	72568	341,495,720	1,899,873,541	详情
2022118	2022-10-16(日)	2671114338	5	7499223	173	90289	374,309,728	1,910,541,782	详情
2022117	2022-10-13(四)	413171828296	11	6083031	166	89708	345,578,024	1,901,177,457	详情
2022116	2022-10-11(二)	814262730331	1	10000000	93	300121	337,975,208	1,923,415,752	详情
2022115	2022-10-09(日)	67182027299	33	5308918	169	75401	359,461,828	1,849,681,926	详情
2022114	2022-10-06(四)	151519262913	12	6667026	241	103756	347,069,064	1,986,647,604	详情
2022113	2022-09-29(四)	1314202427292	2	10000000	84	294642	363,604,180	1,991,635,746	详情
2022112	2022-09-27(二)	3581725311	5	9412037	169	163167	348,893,862	1,937,385,782	详情
2022111	2022-09-25(日)	210111328311	3	10000000	160	198653	385,923,798	1,901,720,272	详情
2022110	2022-09-22(四)	9131518202815	7	8127543	237	115468	352,346,658	1,836,366,779	详情
2022109	2022-09-20(二)	4111319223311	5	8345394	78	268060	349,805,376	1,811,161,575	详情
2022108	2022-09-18(日)	171317183115	13	6708669	269	103218	379,260,702	1,790,162,397	详情
2022107	2022-09-15(四)	391115192816	9	6545730	139	125104	342,747,048	1,794,077,479	详情
2022106	2022-09-13(二)	1720222324311	3	10000000	50	555486	336,123,528	1,800,820,638	详情
2022105	2022-09-11(日)	6121315212315	4	10000000	85	325048	357,410,590	1,747,497,631	详情
2022104	2022-09-08(四)	18192526311	18	5821410	214	86363	337,087,306	1,704,610,228	详情
2022103	2022-09-06(二)	691214202810	12	6266348	146	130104	331,343,836	1,753,950,406	详情
2022102	2022-09-04(日)	9101218293214	6	8618279	137	198080	360,805,992	1,772,160,912	详情
2022101	2022-09-01(四)	416181927284	34	5458579	134	145444	342,584,116	1,742,459,306	详情
2022100	2022-08-30(二)	26715202115	11	6875089	106	243230	338,953,236	1,869,582,122	详情
2022099	2022-08-28(日)	1112324263215	8	7480623	256	96899	368,635,154	1,867,860,655	详情
2022098	2022-08-25(四)	234621335	14	6203690	34	619546	339,839,938	1,853,286,941	详情
2022097	2022-08-23(二)	451013303114	3	10000000	65	421826	339,168,020	1,876,944,863	详情
2022096	2022-08-21(日)	316171925337	50	5337053	94	224104	374,401,638	1,824,688,735	详情
2022095	2022-08-18(四)	413141820288	7	7040114	71	251422	339,954,958	2,028,343,930	详情
2022094	2022-08-16(二)	611131619312	3	10000000	186	111576	333,751,422	2,024,071,723	详情
2022093	2022-08-14(日)	21222428293214	2	10000000	58	481689	363,673,578	1,991,811,868	详情
2022092	2022-08-11(四)	7101620212711	20	5805294	245	82172	337,222,664	1,927,997,908	详情
2022091	2022-08-09(二)	8182022242810	8	6721485	244	70552	335,981,918	1,983,706,692	详情
2022090	2022-08-07(日)	14252729307	7	5764881	98	68292	365,943,774	1,985,834,009	详情
2022089	2022-08-04(四)	271529313315	3	10000000	90	244825	342,434,670	2,006,110,048	详情
2022088	2022-08-02(二)	39151720226	20	5577161	168	85887	340,253,450	1,970,007,210	详情
2022087	2022-07-31(日)	5691323258	6	6065849	129	61967	370,042,706	2,038,263,308	详情
2022086	2022-07-28(四)	14821232411	8	7234563	61	366321	345,421,240	2,050,676,797	详情
2022085	2022-07-26(二)	791431323313	12	6387330	112	185803	341,538,762	2,041,516,396	详情
2022084	2022-07-24(日)	318232425329	5	7928087	97	188665	368,808,592	2,055,734,480	详情
2022083	2022-07-21(四)	812131419205	13	6173323	258	73901	347,550,570	2,040,473,284	详情
2022082	2022-07-19(二)	4101123303214	3	10000000	79	316091	347,371,994	2,063,526,963	详情
2022081	2022-07-17(日)	48112127301	5	9188488	186	140742	373,064,250	2,018,613,381	详情
2022080	2022-07-14(四)	512151718274	9	6967330	129	171569	342,797,508	1,986,021,667	详情
2022079	2022-07-12(二)	191517222316	2	10000000	68	408297	341,273,762	1,982,330,237	详情
2022078	2022-07-10(日)	1451517319	6	7387658	69	259528	366,650,644	1,919,037,561	详情
2022077	2022-07-07(四)	3171819202716	14	6273517	186	119820	345,118,818	1,909,641,199	详情
2022076	2022-07-05(二)	89101324292	14	6399054	142	172418	342,718,328	1,930,610,784	详情
2022075	2022-07-03(日)	12425263010	6	7912531	78	280051	379,959,636	1,946,747,172	详情
2022074	2022-06-30(四)	571519293315	6	8413181	131	195411	354,915,638	1,928,690,407	详情
2022073	2022-06-28(二)	6101415262912	6	8211585	141	170828	352,213,628	1,902,372,906	详情
2022072	2022-06-26(日)	5141516183212	7	7505272	95	230748	385,506,202	1,879,381,753	详情
2022071	2022-06-23(四)	47151829331	8	7659663	141	188628	354,289,328	1,866,155,263	详情
2022070	2022-06-21(二)	4692728332	9	7137010	226	106377	356,598,990	1,847,642,672	详情
2022069	2022-06-19(日)	67131926298	20	5516327	216	59760	380,359,658	1,839,751,672	详情
2022068	2022-06-16(四)	712152426296	7	7414434	170	124272	354,071,622	1,911,353,650	详情
2022067	2022-06-14(二)	151321262915	10	6787147	147	151968	347,891,686	1,899,875,782	详情
2022066	2022-06-12(日)	611142027309	33	5152928	281	22449	370,987,262	1,900,729,226	详情
2022065	2022-06-09(四)	914182328312	4	9202821	143	146951	348,395,414	2,051,850,948	详情
2022064	2022-06-07(二)	461213173116	12	6498426	81	277486	340,689,068	2,025,619,908	详情
2022063	2022-06-05(日)	68917223111	20	5417818	181	57709	360,023,818	2,036,171,824	详情
2022062	2022-06-02(四)	1618202123335	5	8563331	69	322765	329,515,310	2,113,191,829	详情
2022061	2022-05-31(二)	13161829336	3	10000000	64	389348	331,252,342	2,089,196,019	详情
2022060	2022-05-29(日)	1618192428321	3	10000000	80	370919	361,140,396	2,044,441,141	详情
2022059	2022-05-26(四)	69181929336	20	5714126	216	82653	340,378,840	1,985,420,373	详情
2022058	2022-05-24(二)	613142331331	10	6841671	126	182705	336,926,030	2,046,143,432	详情
2022057	2022-05-22(日)	12152026303316	3	10000000	78	304574	378,857,894	2,045,497,453	详情
2022056	2022-05-19(四)	161114172615	6	8799261	162	175891	352,329,270	2,004,226,992	详情
2022055	2022-05-17(二)	2492628333	4	9562440	77	296262	350,153,658	1,971,539,174	详情
2022054	2022-05-15(日)	8122127283311	21	5000000	92	6000	391,678,014	1,941,352,325	详情
2022053	2022-05-12(四)	10141823273315	4	10000000	81	366853	356,510,652	2,046,352,325	详情
2022052	2022-05-10(二)	7242729313215	4	10000000	61	467706	359,187,786	1,997,206,997	详情
2022051	2022-05-08(日)	25111721331	5	9343551	114	238133	389,679,034	1,951,616,776	详情
2022050	2022-05-05(四)	3581427338	16	6080345	141	153240	363,371,278	1,916,892,944	详情
2022049	2022-05-03(二)	24718252610	0	0	127	175848	337,463,590	1,949,357,745	详情
2022048	2022-05-01(日)	571720263114	4	10000000	180	165454	357,972,850	1,882,359,418	详情
2022047	2022-04-28(四)	3781427309	21	5625122	128	128199	360,230,056	1,833,014,021	详情
2022046	2022-04-26(二)	2112425273014	9	7489274	132	212154	358,743,356	1,901,913,181	详情
2022045	2022-04-24(日)	312171819284	7	7472273	182	118859	389,120,778	1,885,303,642	详情
2022044	2022-04-21(四)	1782123296	11	6476085	123	165009	362,459,788	1,872,712,376	详情
2022043	2022-04-19(二)	217202325278	9	6718875	54	358098	350,215,018	1,883,060,805	详情
2022042	2022-04-17(日)	5101121223013	10	7059021	175	147072	376,726,628	1,885,518,647	详情
2022041	2022-04-14(四)	572122242914	4	10000000	57	504454	348,280,000	1,878,895,566	详情
2022040	2022-04-12(二)	3121416313312	15	5830283	119	130821	343,211,044	1,832,633,915	详情
2022039	2022-04-10(日)	2671015205	5	9112790	177	145225	375,104,494	1,873,384,741	详情
2022038	2022-04-07(四)	912131624324	5	8932134	67	366803	348,860,576	1,841,833,878	详情
2022037	2022-04-05(二)	1101320223214	3	10000000	74	372366	332,623,306	1,812,767,035	详情
2022036	2022-04-03(日)	23141626312	7	8039081	110	241745	362,126,634	1,760,101,650	详情
2022035	2022-03-31(四)	8121319232515	8	7126487	169	125827	353,577,746	1,736,599,330	详情
2022034	2022-03-29(二)	14172631323310	9	7033420	49	466856	361,289,854	1,729,816,605	详情
